company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Panda Squad,SF Bay Area,6,75%,Consumer,United States,FALSE
HopSkipDrive,Los Angeles,8,10%,Transportat,,FALSE
Help.com,Austin,16,100%,Support,United States,FALSE
Service,Los Angeles,,100%,Travel,United States,FALSE
Inspirato,Denver,130,22%,Travel,United States,FALSE
Flytedesk,Boulder,4,20%,Marketing,United States,FALSE
Tuft & Needle,Phoenix,,,Retail,United States,FALSE
Popin,New York City,,100%,Fitness,United States,FALSE
Anyvision,Tel Aviv Non-U.S.,,,Security,Israel,TRUE
Lola,Boston,34,,Travel,United States,FALSE
Remote Year,Chicago,50,50%,Travel,United States,FALSE
Ejento,SF Bay Area,84,100%,Recruiting,United States,FALSE
Bounce,Bengaluru Non-U.S.,120,,Transportat,,FALSE
Flywheel Sports,New York City,784,98%,Fitness,United States,FALSE
Peek,Salt Lake City,45,,Travel,United States,FALSE
Service,Los Angeles,,100%,Travel,United States,FALSE
Yonder,Austin,18,,Media,United States,FALSE
Vacasa,Portland,,,Travel,United States,FALSE
CTO.ai,Vancouver Non-U.S.,30,50%,Infrastructu,,TRUE
The Guild,Austin,38,22%,Travel,United States,FALSE
Compass,New York City,375,15%,Real Estate,United States,FALSE
Convene,New York City,150,18%,Real Estate,United States,FALSE
Leafly,Seattle,91,50%,Retail,United States,FALSE
Drip,Salt Lake City,20,,Marketing,United States,FALSE
GrayMeta,Los Angeles,20,40%,Data,United States,TRUE
Triplebyte,SF Bay Area,15,17%,Recruiting,United States,FALSE
Ladder Life,SF Bay Area,13,25%,Finance,United States,FALSE
Cabin,SF Bay Area,,20%,Travel,United States,FALSE
Eight Sleep,New York City,,20%,Retail,United States,FALSE
Zwift,Los Angeles,,,Fitness,United States,FALSE
Sonder,SF Bay Area,400,33%,Travel,United States,FALSE
Takl,Nashville,130,,Consumer,United States,FALSE
Zeus Living,SF Bay Area,80,30%,Real Estate,United States,FALSE
Foodsby,Minneapolis,87,67%,Food,United States,FALSE
Flowr,Toronto Non-U.S.,,25%,Retail,Canada,FALSE
Peerfit,Tampa Bay,,40%,HR,United States,FALSE
SpotHero,Chicago,,,Transportat,,FALSE
TravelBank,SF Bay Area,20,,Travel,United States,FALSE
WanderJaunt,SF Bay Area,56,23%,Travel,United States,FALSE
TripActions,SF Bay Area,300,25%,Travel,United States,FALSE
Lyric,SF Bay Area,100,,Real Estate,United States,FALSE
Rangle,Toronto Non-U.S.,78,30%,Product,Canada,FALSE
O'Reilly Media,SF Bay Area,75,15%,Media,United States,FALSE
OutboundEngine,Austin,52,28%,Marketing,United States,FALSE
Universal Standard,New York City,,,Retail,United States,FALSE
Overtime,New York City,30,23%,Media,United States,FALSE
Jama,Portland,12,5%,Product,United States,FALSE
Element Analytics,SF Bay Area,10,,Data,United States,TRUE
Clever Real Estate,St. Louis,,,Real Estate,United States,FALSE
Clutter,Los Angeles,,30%,Consumer,United States,FALSE
Divvy Homes,SF Bay Area,,8%,Real Estate,United States,FALSE
Wonderschool,SF Bay Area,50,75%,Education,United States,FALSE
B8ta,SF Bay Area,250,50%,Retail,United States,FALSE
Fareportal,Gurugram Non-U.S.,200,,Travel,India,FALSE
Ecobee,Toronto Non-U.S.,47,10%,Energy,Canada,FALSE
Puppet,Portland,50,10%,Infrastructu,,FALSE
Peerspace,SF Bay Area,41,75%,Real Estate,United States,FALSE
GoSpotCheck,Denver,23,20%,Retail,United States,FALSE
Consider.co,SF Bay Area,13,100%,Other,United States,FALSE
Nativo,Los Angeles,,40%,Marketing,United States,FALSE
Passport,Charlotte,44,,Transportat,,FALSE
Zipcar,Boston,100,20%,Transportat,,FALSE
Bird,Los Angeles,406,30%,Transportat,,FALSE
HOOQ,Singapore Non-U.S.,250,100%,Consumer,Singapore,FALSE
Everlane,SF Bay Area,227,,Retail,United States,FALSE
DataRobot,Boston,200,,Data,United States,TRUE
Restaurant365,Los Angeles,175,,Food,United States,FALSE
Blueground,New York City,130,25%,Real Estate,United States,FALSE
Knotel,New York City,127,30%,Real Estate,United States,FALSE
Getaround,SF Bay Area,100,25%,Transportat,,FALSE
Mogo,Vancouver Non-U.S.,78,30%,Finance,Canada,FALSE
OneWeb,London Non-U.S.,451,85%,Aerospace,United Kingdo??False,
Raken,San Diego,60,,Construction,United States,FALSE
Bench,Vancouver Non-U.S.,47,10%,Finance,Canada,FALSE
Loft,Sao Paulo Non-U.S.,47,,Real Estate,Brazil,FALSE
Oh My Green,SF Bay Area,40,,Food,United States,FALSE
Bevi,Boston,30,20%,Food,United States,FALSE
Textio,Seattle,30,20%,Recruiting,United States,FALSE
Opal,Portland,20,,Marketing,United States,FALSE
ThirdLove,New York City,10,,Retail,United States,FALSE
Bcredi,Curitiba Non-U.S.,,,Finance,Brazil,FALSE
Make School,SF Bay Area,,,Education,United States,FALSE
Pivot3,Austin,,,Infrastructu,,FALSE
DISCO,Austin,75,,Legal,United States,FALSE
TravelTriangle,Gurugram Non-U.S.,250,50%,Travel,India,FALSE
Rent the Runway,New York City,,,Retail,United States,FALSE
WeWork,New York City,250,,Real Estate,United States,FALSE
Polarr,SF Bay Area,10,,Consumer,United States,FALSE
Amplero,Seattle,17,100%,Marketing,United States,FALSE
ZipRecruiter,Los Angeles,400,39%,Recruiting,United States,FALSE
PeerStreet,Los Angeles,51,30%,Finance,United States,FALSE
Thumbtack,SF Bay Area,250,30%,Consumer,United States,FALSE
RigUp,Austin,120,25%,Energy,United States,FALSE
FabHotels,New Delhi Non-U.S.,80,20%,Travel,India,FALSE
Hibob,Tel Aviv Non-U.S.,70,30%,HR,Israel,FALSE
Maven,Seattle,31,9%,Media,United States,FALSE
Iris Nova,New York City,9,50%,Food,United States,FALSE
Catalant,Boston,30,,Other,United States,FALSE
Starship Technologies,Tallinn Non-U.S.,30,,Transportat,,FALSE
Loftsmart,New York City,25,75%,Real Estate,United States,FALSE
Caliva,SF Bay Area,20,,Retail,United States,FALSE
Cuyana,SF Bay Area,,,Retail,United States,FALSE
Blume Global,SF Bay Area,30,10%,Logistics,United States,FALSE
Siteimprove,Minneapolis,40,,Marketing,United States,FALSE
KeepTruckin,SF Bay Area,349,18%,Logistics,United States,FALSE
Rover,Seattle,194,41%,Consumer,United States,FALSE
Turo,SF Bay Area,108,30%,Transportat,,FALSE
uShip,Austin,65,37%,Logistics,United States,FALSE
SkySlope,Sacramento,50,25%,Real Estate,United States,FALSE
AngelList,SF Bay Area,20,,Recruiting,United States,FALSE
AdRoll,Salt Lake City,210,30%,Marketing,United States,FALSE
DialSource,Sacramento,5,14%,Marketing,United States,FALSE
Adara,SF Bay Area,,,Travel,United States,FALSE
Claravine,Salt Lake City,,,Marketing,United States,FALSE
Domio,New York City,,30%,Travel,United States,FALSE
Kazoo,Austin,,35%,HR,United States,FALSE
Snap Finance,Salt Lake City,,,Finance,United States,FALSE
Zerto,Boston,,,Infrastructu,,FALSE
Zenoti,Seattle,17,4%,Fitness,United States,FALSE
Groupon,Chicago,2800,44%,Retail,United States,FALSE
Zoox,SF Bay Area,100,10%,Transportat,,FALSE
EasyPost,SF Bay Area,50,25%,Logistics,United States,FALSE
Clearbanc,Toronto Non-U.S.,17,8%,Finance,Canada,FALSE
Neon,Sao Paulo Non-U.S.,70,10%,Finance,Brazil,FALSE
Envoy,SF Bay Area,58,30%,HR,United States,FALSE
The RealReal,SF Bay Area,235,10%,Retail,United States,FALSE
TouchBistro,Toronto Non-U.S.,131,23%,Food,Canada,FALSE
VSCO,SF Bay Area,45,35%,Consumer,United States,FALSE
Aura Financial,SF Bay Area,,,Finance,United States,FALSE
DataStax,SF Bay Area,15,,Data,United States,TRUE
Xerpa,Sao Paulo Non-U.S.,10,,HR,Brazil,FALSE
RedDoorz,Singapore Non-U.S.,,,Travel,Singapore,FALSE
Skillz,SF Bay Area,21,,Consumer,United States,FALSE
Carta,SF Bay Area,161,16%,Finance,United States,FALSE
Opendoor,SF Bay Area,600,35%,Real Estate,United States,FALSE
GoPro,SF Bay Area,200,20%,Consumer,United States,FALSE
Shop101,Mumbai Non-U.S.,200,40%,Retail,India,FALSE
Zume,SF Bay Area,200,67%,Food,United States,FALSE
Akulaku,Jakarta Non-U.S.,100,,Finance,Indonesia,FALSE
Trove Recommerce,SF Bay Area,13,,Retail,United States,FALSE
Kodiak Robotics,SF Bay Area,15,20%,Transportat,,FALSE
Tulip Retail,Toronto Non-U.S.,14,,Retail,Canada,TRUE
Dude Solutions,Raleigh,,20%,Other,United States,FALSE
SweetEscape,Jakarta Non-U.S.,,30%,Consumer,Indonesia,FALSE
View,SF Bay Area,,,Energy,United States,FALSE
Parsable,SF Bay Area,40,25%,HR,United States,FALSE
CarGurus,Boston,130,13%,Transportat,,FALSE
Funding Societies,Singapore Non-U.S.,65,18%,Finance,Singapore,FALSE
CleverTap,Mumbai Non-U.S.,60,20%,Marketing,India,FALSE
CrowdRiff,Toronto Non-U.S.,,,Marketing,Canada,FALSE
Grailed,New York City,,,Retail,United States,TRUE
LumenAd,Missoula,,,Marketing,United States,FALSE
Purse,SF Bay Area,,100%,Crypto,United States,TRUE
SquadVoice,Columbus,,,Real Estate,United States,FALSE
FullStory,Atlanta,,,Marketing,United States,FALSE
BlackBuck,Bengaluru Non-U.S.,200,,Logistics,India,FALSE
ContaAzul,Joinville Non-U.S.,140,35%,Education,Brazil,FALSE
Loft,Sao Paulo Non-U.S.,47,10%,Real Estate,Brazil,FALSE
Greenhouse,New York City,120,28%,Recruiting,United States,FALSE
QuintoAndar,Sao Paulo Non-U.S.,88,8%,Real Estate,Brazil,FALSE
Zilingo,Singapore Non-U.S.,44,5%,Retail,Singapore,FALSE
Dispatch,Boston,,38%,Other,United States,FALSE
Sweetgreen,Los Angeles,35,10%,Food,United States,FALSE
Labster,Copenhagen Non-U.S.,40,,Education,Denmark,FALSE
Influitive,Toronto Non-U.S.,,,Marketing,Canada,FALSE
Food52,New York City,,,Food,United States,FALSE
People.ai,SF Bay Area,30,18%,Marketing,United States,TRUE
Tor,Boston,13,37%,Security,United States,TRUE
BitGo,SF Bay Area,,12%,Crypto,United States,TRUE
Motif Investing,SF Bay Area,,100%,Finance,United States,FALSE
Klook,Hong Kong Non-U.S.,300,15%,Travel,Hong Kong,FALSE
ConsenSys,New York City,91,14%,Crypto,United States,TRUE
GumGum,Los Angeles,90,25%,Marketing,United States,FALSE
Kueski,Guadalajara Non-U.S.,90,30%,Finance,Mexico,FALSE
Zum,SF Bay Area,28,,Transportat,,FALSE
Komodo Health,SF Bay Area,23,9%,Healthcare,United States,FALSE
Forward,SF Bay Area,10,3%,Healthcare,United States,FALSE
Hipcamp,SF Bay Area,,60%,Travel,United States,FALSE
Movidesk,Blumenau Non-U.S.,33,25%,Support,Brazil,FALSE
Swiggy,Bengaluru Non-U.S.,800,,Food,India,FALSE
Paytm,New Delhi Non-U.S.,500,,Finance,India,FALSE
Lending Club,SF Bay Area,460,30%,Finance,United States,FALSE
Houzz,SF Bay Area,155,10%,Consumer,United States,FALSE
Casper,New York City,78,21%,Retail,United States,FALSE
Freshbooks,Toronto Non-U.S.,38,9%,Finance,Canada,FALSE
Lambda School,SF Bay Area,19,,Education,United States,FALSE
Politico / Protocol,Washington D.C.,13,,Media,United States,FALSE
Bringg,Tel Aviv Non-U.S.,10,10%,Logistics,Israel,FALSE
RealSelf,Seattle,40,13%,Healthcare,United States,FALSE
Patreon,SF Bay Area,30,13%,Media,United States,FALSE
Magic Leap,Miami,1000,50%,Consumer,United States,FALSE
Nearmap,Sydney Non-U.S.,,10%,Construction,Australia,FALSE
ExtraHop,Seattle,,,Security,United States,TRUE
Clearbit,SF Bay Area,,,Data,United States,TRUE
Airy Rooms,Jakarta Non-U.S.,,70%,Travel,Indonesia,TRUE
Ike,SF Bay Area,10,14%,Transportat,,FALSE
When I Work,Minneapolis,55,35%,HR,United States,FALSE
Zenefits,SF Bay Area,87,15%,HR,United States,FALSE
StockX,Detroit,100,12%,Retail,United States,FALSE
Sisense,New York City,80,9%,Data,United States,TRUE
Convoy,Seattle,,1%,Logistics,United States,FALSE
Simon Data,New York City,6,,Marketing,United States,FALSE
Singular,SF Bay Area,,,Marketing,United States,FALSE
PowerReviews,Chicago,,,Retail,United States,FALSE
Oscar Health,New York City,70,5%,Healthcare,United States,FALSE
GoCardless,London Non-U.S.,,,Finance,United Kingdo??False,
Cheddar,New York City,,,Media,United States,FALSE
TutorMundi,Sao Paulo Non-U.S.,4,100%,Education,Brazil,FALSE
Jiobit,Chicago,6,21%,Consumer,United States,FALSE
Welkin Health,SF Bay Area,10,33%,Healthcare,United States,FALSE
Horizn Studios,Berlin Non-U.S.,15,25%,Travel,Germany,FALSE
Lighter Capital,Seattle,18,22%,Finance,United States,FALSE
UPshow,Chicago,19,30%,Marketing,United States,FALSE
Ada Support,Toronto Non-U.S.,36,23%,Support,Canada,FALSE
Divergent 3D,Los Angeles,57,36%,Transportat,,FALSE
OYO,Sao Paulo Non-U.S.,500,,Travel,Brazil,FALSE
Submittable,Missoula,30,20%,Other,United States,FALSE
Stoqo,Jakarta Non-U.S.,250,100%,Food,Indonesia,FALSE
Qwick,Phoenix,,70%,Recruiting,United States,FALSE
JetClosing,Seattle,20,20%,Real Estate,United States,FALSE
Automation Anywhere,SF Bay Area,260,10%,Other,United States,FALSE
Migo,SF Bay Area,,25%,Finance,United States,FALSE
Desktop Metal,Boston,,,Other,United States,TRUE
Shipsi,Los Angeles,20,50%,Retail,United States,FALSE
PayJoy,SF Bay Area,27,25%,Finance,United States,FALSE
OpenX,Los Angeles,35,15%,Marketing,United States,FALSE
App Annie,SF Bay Area,80,18%,Data,United States,TRUE
Deliveroo,London Non-U.S.,367,15%,Food,United Kingdom,FALSE
Renmoney,Lagos Non-U.S.,391,50%,Finance,Nigeria,FALSE
TripAdvisor,Boston,900,25%,Travel,United States,FALSE
WeWork,SF Bay Area,300,,Real Estate,United States,FALSE
Kayak / OpenTable,Stamford,160,8%,Travel,United States,FALSE
Lyft,SF Bay Area,982,17%,Transportat,,FALSE
Lime,SF Bay Area,80,13%,Transportat,,FALSE
Transfix,New York City,24,10%,Logistics,United States,FALSE
Yoco,Cape Town Non-U.S.,,,Finance,South Africa,FALSE
Kitopi,New York City,124,,Food,United States,FALSE
Bullhorn,Boston,100,,Sales,United States,FALSE
Care.com,Boston,81,,Consumer,United States,FALSE
Fandom,SF Bay Area,,14%,Media,United States,FALSE
Cohesity,SF Bay Area,,,Data,United States,TRUE
PicoBrew,Seattle,,100%,Food,United States,FALSE
AirMap,Los Angeles,,,Aerospace,United States,TRUE
Zymergen,SF Bay Area,,10%,Other,United States,FALSE
WeFit,Hanoi Non-U.S.,,100%,Fitness,Vietnam,FALSE
BetterCloud,New York City,,,Security,United States,TRUE
Mode Analytics,SF Bay Area,17,,Data,United States,TRUE
Intersect,Toronto Non-U.S.,19,11%,Product,Canada,FALSE
Kickstarter,New York City,25,18%,Finance,United States,FALSE
Mercos,Joinville Non-U.S.,51,40%,Sales,Brazil,FALSE
Deliv,SF Bay Area,669,100%,Retail,United States,FALSE
Cruise,SF Bay Area,150,8%,Transportat,,FALSE
Integral Ad Science,New York City,70,10%,Marketing,United States,FALSE
Ridecell,SF Bay Area,35,15%,Transportat,,FALSE
Quartz,New York City,80,40%,Media,United States,FALSE
Sift,SF Bay Area,,,Security,United States,TRUE
TicketSwap,Amsterdam Non-U.S.,,30%,Consumer,Netherlands,FALSE
Workfront,Salt Lake City,,,Marketing,United States,FALSE
Veem,SF Bay Area,30,,Finance,United States,FALSE
Masse,New York City,,100%,Retail,United States,FALSE
Lattice,SF Bay Area,16,10%,HR,United States,FALSE
Lendingkart,Ahmedabad Non-U.S.,500,50%,Finance,India,FALSE
Zomato,Gurugram Non-U.S.,520,13%,Food,India,FALSE
Magicbricks,Noida Non-U.S.,250,,Real Estate,India,FALSE
Uber,SF Bay Area,3000,13%,Transportat,,FALSE
Agoda,Singapore Non-U.S.,1500,25%,Travel,Singapore,FALSE
Swiggy,Bengaluru Non-U.S.,1100,14%,Food,India,FALSE
Datera,SF Bay Area,,10%,Infrastructu,,FALSE
Rubrik,SF Bay Area,57,,Infrastructu,,FALSE
Intapp,SF Bay Area,45,5%,Legal,,FALSE
Checkmarx,Tel Aviv Non-U.S.,,,Security,Israel,TRUE
WeWork,New Delhi Non-U.S.,100,20%,Real Estate,India,FALSE
Pollen,London Non-U.S.,69,31%,Travel,United Kingdo??False,FALSE
Livspace,Bengaluru Non-U.S.,450,15%,Retail,India,FALSE
Divvy,Salt Lake City,,,Finance,United States,FALSE
Dotscience,London Non-U.S.,10,100%,Product,United Kingdo??False,FALSE
ShareChat,Bengaluru Non-U.S.,101,25%,Marketing,India,FALSE
SoFi,SF Bay Area,112,7%,Finance,United States,FALSE
Stay Alfred,Spokane,221,100%,Travel,United States,FALSE
Samsara,SF Bay Area,300,18%,Logistics,United States,FALSE
Ola,Bengaluru Non-U.S.,1400,35%,Transportat,,FALSE
Intercom,SF Bay Area,39,6%,Support,United States,FALSE
Kapten / Free Now,Paris Non-U.S.,,,Transportat,,FALSE
PickYourTrail,Chennai Non-U.S.,70,35%,Travel,India,TRUE
Cvent,Washington D.C.,400,10%,Marketing,United States,FALSE
Glitch,New York City,18,36%,Product,United States,FALSE
Teamwork,Cork Non-U.S.,21,,Other,Ireland,FALSE
CarDekho,Gurugram Non-U.S.,200,,Transportat,,FALSE
Uber,Bengaluru,600,23%,Transportat,,FALSE
Acorns,Portland,50,,Finance,United States,FALSE
Bluprint,Denver,137,100%,Education,United States,FALSE
Instructure,Salt Lake City,150,12%,Education,United States,FALSE
Ebanx,Curitiba Non-U.S.,62,8%,Finance,Brazil,FALSE
The Sill,New York City,20,25%,Retail,United States,FALSE
Culture Amp,Melbourne Non-U.S.,36,8%,HR,Australia,FALSE
StubHub,SF Bay Area,200,,Consumer,United States,FALSE
TrueCar,Los Angeles,219,30%,Transportat,,FALSE
BookMyShow,Mumbai Non-U.S.,270,18%,Consumer,India,FALSE
Loftium,Seattle,32,60%,Real Estate,United States,FALSE
Brex,SF Bay Area,62,15%,Finance,United States,FALSE
Conga,Denver,,11%,Data,United States,TRUE
Stockwell AI,SF Bay Area,,100%,Retail,United States,TRUE
Redox,Madison,44,25%,Healthcare,United States,FALSE
Splunk,SF Bay Area,70,1%,Data,United States,TRUE
Grab,Singapore Non-U.S.,360,5%,Transportat,,FALSE
PaisaBazaar,Gurugram Non-U.S.,1500,50%,Finance,India,TRUE
Navi,Bengaluru Non-U.S.,40,25%,Finance,,FALSE
Atlas Obscura,New York City,15,,Media,United States,FALSE
WeWork,London Non-U.S.,200,,Real Estate,United Kingdo??False,
Intuit,SF Bay Area,715,7%,Finance,United States,FALSE
ScaleFactor,Austin,90,90%,Finance,United States,FALSE
Dark,SF Bay Area,6,100%,Product,United States,FALSE
Gojek,Jakarta Non-U.S.,430,9%,Transportat,,FALSE
GoDaddy,Austin,451,6%,Marketing,United States,FALSE
OYO,Dallas,,,Travel,United States,FALSE
Sonos,New York City,174,12%,Consumer,United States,FALSE
Sprinklr,New York City,,,Support,United States,FALSE
Byton,SF Bay Area,,,Transportat,,FALSE
Engine eCommerce,Fayetteville,,100%,Retail,United States,FALSE
New Relic,Portland,20,,Infrastructu,,FALSE
Bossa Nova,SF Bay Area,61,,Retail,United States,FALSE
Argo AI,Munich Non-U.S.,100,,Transportat,,TRUE
Bounce,Bengaluru Non-U.S.,130,22%,Transportat,,FALSE
Katerra,SF Bay Area,400,7%,Construction,United States,FALSE
Hired,SF Bay Area,,,Recruiting,United States,FALSE
G2,Chicago,17,5%,Marketing,United States,FALSE
Yelp,SF Bay Area,63,,Consumer,United States,FALSE
Vox Media,Washington D.C.,,,Media,United States,FALSE
Skyscanner,Edinburgh Non-U.S.,300,20%,Travel,United Kingdo??False,FALSE
Optimizely,SF Bay Area,60,15%,Marketing,United States,FALSE
Snaptravel,Toronto Non-U.S.,,,Travel,Canada,FALSE
Curefit,Bengaluru Non-U.S.,120,,Fitness,India,FALSE
Lighter Capital,Seattle,22,49%,Finance,United States,FALSE
LinkedIn,SF Bay Area,960,6%,Recruiting,United States,FALSE
Checkr,SF Bay Area,64,12%,HR,United States,FALSE
Sorabel,Jakarta Non-U.S.,,100%,Retail,Indonesia,FALSE
Perkbox,London Non-U.S.,,,HR,United Kingdo??False,FALSE
Zeitgold,Berlin Non-U.S.,75,72%,Finance,Germany,FALSE
Swiggy,Bengaluru Non-U.S.,350,5%,Food,India,FALSE
Procore,Los Angeles,180,9%,Construction,United States,FALSE
Pared,SF Bay Area,,,Food,United States,FALSE
tZero,New York City,,,Finance,United States,FALSE
Buy.com / Rakuten,SF Bay Area,87,100%,Retail,United States,FALSE
Booking.com,Amsterdam Non-U.S.,4375,25%,Travel,Netherlands,FALSE
InVision,New York City,,,Product,United States,FALSE
Shopify,Ottawa Non-U.S.,30,,Retail,Canada,FALSE
DJI,Shenzen Non-U.S.,,,Consumer,China,FALSE
Lumina Networks,SF Bay Area,,100%,Infrastructu,,FALSE
Mapify,Berlin Non-U.S.,,,Travel,Germany,FALSE
Docly,London Non-U.S.,8,80%,Healthcare,United Kingdo??False,FALSE
StreamSets,SF Bay Area,,,Data,United States,TRUE
Superloop,Brisbane Non-U.S.,30,,Infrastructu,,FALSE
Spaces,Los Angeles,,,Media,United States,FALSE
Salesforce,SF Bay Area,1000,2%,Sales,United States,FALSE
kununu,Boston,,,Recruiting,United States,FALSE
MakeMyTrip,New Delhi Non-U.S.,350,10%,Travel,India,FALSE
Air,New York City,,16%,Marketing,United States,TRUE
WeWork,Shenzen Non-U.S.,,,Real Estate,China,FALSE
HumanForest,London Non-U.S.,,,Transportat,,
TheWrap,Los Angeles,,,Media,United States,FALSE
Alto Pharmacy,SF Bay Area,47,6%,Healthcare,United States,FALSE
GetYourGuide,Berlin Non-U.S.,90,17%,Travel,Germany,FALSE
Zomato,Jakarta Non-U.S.,,,Food,Indonesia,FALSE
Quibi,Los Angeles,,100%,Media,United States,FALSE
CodeCombat,SF Bay Area,8,,Education,United States,FALSE
Cheetah,SF Bay Area,,,Food,United States,FALSE
Knotel,New York City,20,8%,Real Estate,United States,FALSE
Remedy,Austin,82,,Healthcare,United States,FALSE
Bridge Connector,Nashville,154,100%,Healthcare,United States,FALSE
Tidepool,SF Bay Area,18,40%,Healthcare,United States,FALSE
Scoop,SF Bay Area,,,Transportat,,FALSE
Igenous,Seattle,,,Data,United States,TRUE
Domio,New York City,,50%,Real Estate,United States,FALSE
Aya,Toronto Non-U.S.,5,25%,Finance,Canada,FALSE
Zinier,SF Bay Area,,,HR,United States,FALSE
Actifio,Boston,54,,Data,United States,TRUE
Breather,Montreal Non-U.S.,120,80%,Real Estate,Canada,FALSE
Pulse Secure,SF Bay Area,78,,Security,United States,TRUE
Dropbox,SF Bay Area,315,15%,Other,United States,FALSE
Pocketmath,Singapore,21,100%,Marketing,Singapore,FALSE
Instacart,SF Bay Area,1877,,Food,United States,FALSE
Postmates,SF Bay Area,180,15%,Food,United States,FALSE
Shutterfly,SF Bay Area,800,,Retail,United States,FALSE
Privitar,London Non-U.S.,20,,Data,United Kingdo??True,FALSE
Bytedance,Mumbai Non-U.S.,1800,,Consumer,India,FALSE
Bounce,Bengaluru Non-U.S.,200,40%,Transportat,,FALSE
Ninjacart,Bengaluru Non-U.S.,200,,Food,India,FALSE
DJI,SF Bay Area,,,Consumer,United States,FALSE
Medium,SF Bay Area,,,Media,United States,FALSE
Patreon,SF Bay Area,36,,Media,United States,FALSE
Lambda School,SF Bay Area,65,,Education,United States,FALSE
Madefire,SF Bay Area,,100%,Media,United States,FALSE
Pagarbook,Bengaluru Non-U.S.,80,,HR,India,FALSE
Flockjay,SF Bay Area,37,50%,Education,United States,FALSE
Tanium,Seattle,30,,Security,United States,TRUE
Casper,New York City,,,Retail,United States,FALSE
Treehouse,Portland,41,90%,Education,United States,FALSE
Genius,New York City,,,Consumer,United States,FALSE
Imperfect Foods,SF Bay Area,,,Food,United States,FALSE
Zymergen,SF Bay Area,120,,Other,United States,FALSE
BitTitan,Seattle,70,27%,Data,United States,TRUE
Delivery Hero,Berlin Non-U.S.,300,,Food,Germany,FALSE
Protonn,Bengaluru Non-U.S.,,100%,Other,India,FALSE
Root Insurance,Columbus,330,,Finance,United States,FALSE
Glossier,New York City,80,33%,Consumer,United States,FALSE
Gopuff,Philadelphia,100,,Food,United States,FALSE
Homie,Salt Lake City,119,29%,Real Estate,United States,FALSE
Liv Up,Sao Paulo Non-U.S.,100,15%,Food,Brazil,FALSE
Trustly,Stockholm Non-U.S.,120,,Finance,Sweden,FALSE
Lido,Mumbai Non-U.S.,150,,Education,India,FALSE
Virgin Hyperloop,Los Angeles,111,50%,Transportat,,FALSE
OKCredit,New Delhi Non-U.S.,30,,Finance,India,FALSE
iFit,Logan,,,Fitness,,FALSE
Talis Biomedical,SF Bay Area,,25%,Healthcare,United States,FALSE
Knock,New York City,115,46%,Real Estate,United States,FALSE
Trell,Bengaluru Non-U.S.,300,50%,Retail,India,FALSE
Curology,SF Bay Area,150,,Healthcare,United States,FALSE
Storytel,Stockholm Non-U.S.,100,10%,Media,Sweden,FALSE
Grove Collaborative,SF Bay Area,,17%,Retail,United States,FALSE
Furlenco,Bengaluru Non-U.S.,180,,Retail,India,FALSE
Thinkific,Vancouver Non-U.S.,100,20%,Education,Canada,FALSE
Gopuff,Philadelphia,450,3%,Food,United States,FALSE
Rasa,Berlin Non-U.S.,59,40%,Data,Germany,TRUE
Sea,Bengaluru Non-U.S.,350,,Retail,India,FALSE
Lightico,Tel Aviv Non-U.S.,20,,Finance,Israel,FALSE
Ahead,SF Bay Area,44,100%,Healthcare,United States,FALSE
Truepill,SF Bay Area,,,Healthcare,United States,FALSE
Halcyon Health,New York City,,100%,Healthcare,United States,FALSE
Humble,SF Bay Area,10,,Media,United States,FALSE
Automox,Boulder,,11%,Infrastructu,,FALSE
Loft,Sao Paulo Non-U.S.,159,,Real Estate,Brazil,FALSE
QuintoAndar,Sao Paulo Non-U.S.,160,4%,Real Estate,Brazil,FALSE
Blend,SF Bay Area,200,10%,Finance,United States,FALSE
Better.com,New York City,,,Real Estate,United States,FALSE
Lemonade,New York City,52,,Finance,United States,FALSE
Facily,Sao Paulo Non-U.S.,260,30%,Retail,Brazil,FALSE
Xiaohongshu,Shanghai Non-U.S.,180,9%,Consumer,China,FALSE
Sigfox,Toulouse Non-U.S.,64,,Other,France,FALSE
Clyde,New York City,22,,Marketing,United States,FALSE
Bonsai,Toronto Non-U.S.,29,34%,Retail,Canada,TRUE
Robinhood,SF Bay Area,340,9%,Finance,United States,FALSE
Wahoo Fitness,Atlanta,50,,Fitness,United States,FALSE
Netflix,SF Bay Area,25,,Media,United States,FALSE
Domestika,SF Bay Area,150,19%,Education,United States,FALSE
Noom,New York City,495,,Healthcare,United States,FALSE
CommonBond,New York City,22,,Finance,United States,FALSE
Subspace,Los Angeles,,100%,Infrastructu,,FALSE
Thirty Madison,New York City,24,,Healthcare,United States,FALSE
AliExpress Russia,Moscow Non-U.S.,400,40%,Retail,Russia,FALSE
Zulily,Seattle,,,Retail,United States,FALSE
Zak,Sao Paulo Non-U.S.,100,40%,Food,Brazil,FALSE
Picsart,Miami,90,8%,Consumer,United States,FALSE
Kry,Stockholm Non-U.S.,100,10%,Healthcare,Sweden,FALSE
Netflix,SF Bay Area,150,1%,Media,United States,FALSE
Vedantu,Bengaluru Non-U.S.,424,7%,Education,India,FALSE
Cars24,Gurugram Non-U.S.,600,6%,Transportat,,FALSE
Skillz,SF Bay Area,70,10%,Consumer,United States,FALSE
Outside,Boulder,87,15%,Media,United States,FALSE
Latch,New York City,130,28%,Security,United States,TRUE
